Comparison,Time Taken,Array Size, S
649,93800,100,1
699,59200,100,2
774,61100,100,3
774,61200,100,4
883,60800,100,5
885,61100,100,6
885,59700,100,7
885,54400,100,8
885,61900,100,9
885,32800,100,10
1097,32200,100,11
1111,8800,100,12
1111,8500,100,13
1111,8200,100,14
1111,7700,100,15
1111,7700,100,16
1111,12800,100,17
1111,7600,100,18
1111,7600,100,19
1111,6900,100,20
1111,6800,100,21
1111,6900,100,22
1111,7400,100,23
1830,6600,100,24
1830,6400,100,25
1830,6400,100,26
1830,5900,100,27
1830,6400,100,28
1830,5900,100,29
1830,5900,100,30
1830,6300,100,31
1830,5900,100,32
1830,5900,100,33
1830,5900,100,34
1830,15500,100,35
1830,6600,100,36
1830,5900,100,37
1830,6000,100,38
1830,6000,100,39
1830,7700,100,40
1830,6000,100,41
1830,6000,100,42
1830,5800,100,43
1830,5700,100,44
1830,6200,100,45
1830,6100,100,46
1830,5800,100,47
1830,6200,100,48
1892,5400,100,49
1892,6000,100,50
1892,5300,100,51
1892,5400,100,52
1892,5700,100,53
1892,6400,100,54
1892,5900,100,55
1892,5900,100,56
1892,6000,100,57
1892,5900,100,58
1892,5900,100,59
1892,5600,100,60
1892,5700,100,61
1892,5900,100,62
1892,6200,100,63
1892,5800,100,64
1641,32600,200,1
1867,27500,200,2
1875,26300,200,3
1875,25300,200,4
2015,26200,200,5
2124,29700,200,6
2124,29000,200,7
2124,27700,200,8
2124,27100,200,9
2124,27200,200,10
2364,28700,200,11
2863,27500,200,12
2863,26000,200,13
2863,25300,200,14
2863,25200,200,15
2863,25000,200,16
2863,27200,200,17
2863,26400,200,18
2863,26300,200,19
2863,26300,200,20
2863,26400,200,21
2863,26100,200,22
2863,26200,200,23
3366,27700,200,24
3366,31400,200,25
3366,35000,200,26
3366,26600,200,27
3366,26900,200,28
3366,27400,200,29
3366,28500,200,30
3366,28800,200,31
3366,26700,200,32
3366,27500,200,33
3366,27200,200,34
3366,26700,200,35
3366,26200,200,36
3366,26500,200,37
3366,26400,200,38
3366,26200,200,39
3366,26700,200,40
3366,33900,200,41
3366,46700,200,42
3366,29900,200,43
3366,25000,200,44
3366,25000,200,45
3366,24700,200,46
3366,24200,200,47
3366,25000,200,48
5650,20200,200,49
5650,20100,200,50
5650,20000,200,51
5650,19500,200,52
5650,19800,200,53
5650,20200,200,54
5650,19500,200,55
5650,19700,200,56
5650,20000,200,57
5650,19200,200,58
5650,19500,200,59
5650,19800,200,60
5650,21000,200,61
5650,19700,200,62
5650,19200,200,63
5650,19400,200,64
2981,69600,300,1
3456,62600,300,2
3485,66300,300,3
4636,62200,300,4
4636,62100,300,5
4636,60300,300,6
4636,60500,300,7
5097,70100,300,8
7426,67700,300,9
7426,65900,300,10
7426,66100,300,11
7426,66900,300,12
7426,71000,300,13
7426,68600,300,14
7426,64800,300,15
7426,71900,300,16
7409,71000,300,17
7956,66500,300,18
7956,66000,300,19
7956,69700,300,20
7956,65300,300,21
7956,65800,300,22
7956,65900,300,23
7956,64800,300,24
7956,69900,300,25
7956,65800,300,26
7956,64000,300,27
7956,57900,300,28
7956,51300,300,29
7956,52100,300,30
7956,50900,300,31
7956,51200,300,32
7956,50700,300,33
7956,52900,300,34
7956,52500,300,35
8585,52900,300,36
9773,64100,300,37
9773,58600,300,38
9773,86600,300,39
9773,57900,300,40
9773,58300,300,41
9773,58900,300,42
9773,53100,300,43
9773,95600,300,44
9773,53100,300,45
9773,52700,300,46
9773,52600,300,47
9773,52400,300,48
9773,83700,300,49
9773,53300,300,50
9773,52800,300,51
9773,52400,300,52
9773,52600,300,53
9773,52200,300,54
9773,52400,300,55
9773,54500,300,56
9773,61900,300,57
9773,61500,300,58
9773,61000,300,59
9773,60800,300,60
9773,60900,300,61
9773,61300,300,62
9773,60800,300,63
9773,60800,300,64
4047,115400,400,1
5533,98600,400,2
5888,146200,400,3
5888,136700,400,4
6672,151700,400,5
8114,147300,400,6
8114,148600,400,7
8114,239900,400,8
8114,166400,400,9
8114,202200,400,10
8319,194900,400,11
9339,157500,400,12
9339,159900,400,13
9339,154200,400,14
9339,159700,400,15
9339,157400,400,16
9339,152600,400,17
9339,162200,400,18
9339,168000,400,19
9339,147700,400,20
9339,143100,400,21
9339,118400,400,22
9339,131900,400,23
10502,207400,400,24
10502,160500,400,25
10502,183600,400,26
10502,164100,400,27
10502,183100,400,28
10502,146600,400,29
10502,142500,400,30
10502,110200,400,31
10502,126000,400,32
10502,110900,400,33
10502,130300,400,34
10502,101200,400,35
10502,103700,400,36
10502,104900,400,37
10502,108200,400,38
10502,99500,400,39
10502,114600,400,40
10502,114200,400,41
10502,139700,400,42
10502,109400,400,43
10502,111000,400,44
10502,118300,400,45
10502,118800,400,46
10502,110600,400,47
10502,120700,400,48
12583,142600,400,49
12583,121100,400,50
12583,171000,400,51
12583,142400,400,52
12583,118900,400,53
12583,268800,400,54
12583,161800,400,55
12583,129600,400,56
12583,169100,400,57
12583,149000,400,58
12583,128900,400,59
12583,169500,400,60
12583,161100,400,61
12583,134900,400,62
12583,174300,400,63
12583,176800,400,64
6664,277300,500,1
6727,462600,500,2
9398,307600,500,3
9398,300000,500,4
9398,297800,500,5
9938,348300,500,6
12187,271700,500,7
12187,259300,500,8
12187,255300,500,9
12187,307200,500,10
12187,348900,500,11
12187,297500,500,12
12187,267900,500,13
13962,254200,500,14
15702,284200,500,15
15702,242700,500,16
15702,253100,500,17
15702,213800,500,18
15702,222800,500,19
15702,261400,500,20
15702,210400,500,21
15702,212000,500,22
15702,267300,500,23
15702,221400,500,24
15702,229200,500,25
15702,186600,500,26
15702,42000,500,27
15702,33300,500,28
15702,29500,500,29
16805,32000,500,30
23089,33700,500,31
23089,31400,500,32
23089,29600,500,33
23089,29000,500,34
23089,28700,500,35
23089,28700,500,36
23089,28500,500,37
23089,28400,500,38
23089,28500,500,39
23089,28900,500,40
23089,38100,500,41
23089,30300,500,42
23089,28200,500,43
23089,28400,500,44
23089,28200,500,45
23089,28400,500,46
23089,28200,500,47
23089,28100,500,48
23089,28000,500,49
23089,28000,500,50
23089,28000,500,51
23089,27900,500,52
23089,28000,500,53
23089,27900,500,54
23089,28000,500,55
23089,28000,500,56
23089,27900,500,57
23089,27800,500,58
23089,27800,500,59
23089,27700,500,60
24950,30000,500,61
28785,34700,500,62
28785,33400,500,63
28785,32400,500,64
8053,57900,600,1
10216,46900,600,2
11245,50900,600,3
14320,46600,600,4
14320,42000,600,5
14320,38100,600,6
14320,37400,600,7
16728,38900,600,8
22648,48000,600,9
22648,45300,600,10
22648,43000,600,11
22648,41700,600,12
22648,41300,600,13
22648,40100,600,14
22648,40400,600,15
22648,40500,600,16
23707,48600,600,17
38873,52900,600,18
38873,61000,600,19
38873,48700,600,20
38873,48800,600,21
38873,47600,600,22
38873,46500,600,23
38873,47000,600,24
38873,46800,600,25
38873,47100,600,26
38873,46200,600,27
38873,46900,600,28
38873,46600,600,29
38873,46600,600,30
38873,46600,600,31
38873,46800,600,32
38873,46400,600,33
38873,46100,600,34
38873,45800,600,35
53085,51600,600,36
67665,54700,600,37
67665,54200,600,38
67665,52100,600,39
67665,51500,600,40
67665,51100,600,41
67665,52400,600,42
67665,52000,600,43
67665,52200,600,44
67665,51800,600,45
67665,51900,600,46
67665,51400,600,47
67665,51600,600,48
67665,51500,600,49
67665,51600,600,50
67665,51500,600,51
67665,51900,600,52
67665,51300,600,53
67665,51500,600,54
67665,51400,600,55
67665,51300,600,56
67665,51200,600,57
67665,51300,600,58
67665,51200,600,59
67665,51300,600,60
67665,51300,600,61
67665,49600,600,62
67665,47300,600,63
67665,77900,600,64
8083,69400,700,1
12119,70500,700,2
12119,62100,700,3
14300,75000,700,4
18937,91200,700,5
18937,91500,700,6
18937,83600,700,7
18937,86000,700,8
18116,86900,700,9
23545,93800,700,10
23545,90000,700,11
23545,101600,700,12
23545,98900,700,13
23545,85900,700,14
23545,87800,700,15
23545,86100,700,16
23545,86100,700,17
23545,82900,700,18
23545,90500,700,19
23727,94000,700,20
29310,79600,700,21
29310,84700,700,22
29310,82800,700,23
29310,81900,700,24
29310,82400,700,25
29310,82800,700,26
29310,79000,700,27
29310,72000,700,28
29310,77500,700,29
29310,84400,700,30
29310,72900,700,31
29310,40500,700,32
29310,40500,700,33
29310,40000,700,34
29310,39600,700,35
29310,39500,700,36
29310,39600,700,37
29310,39400,700,38
29310,39400,700,39
29310,39000,700,40
29310,39000,700,41
27482,48300,700,42
29305,40300,700,43
29305,38000,700,44
29305,35400,700,45
29305,34600,700,46
29305,34900,700,47
29305,35000,700,48
29305,36700,700,49
29305,33500,700,50
29305,57200,700,51
29305,33800,700,52
29305,33700,700,53
29305,33600,700,54
29305,33100,700,55
29305,33200,700,56
29305,33500,700,57
29305,33200,700,58
29305,32500,700,59
29305,36100,700,60
29305,41500,700,61
29305,42100,700,62
29305,41700,700,63
29305,42800,700,64
11064,114400,800,1
12876,100000,800,2
14483,113700,800,3
14483,92400,800,4
18017,78900,800,5
18719,82400,800,6
18719,73900,800,7
18719,68400,800,8
18719,66000,800,9
18719,64900,800,10
24057,73300,800,11
36086,66300,800,12
36086,55400,800,13
36086,55800,800,14
36086,66200,800,15
36086,52500,800,16
36086,61000,800,17
36086,51100,800,18
36086,51000,800,19
36086,50800,800,20
36086,50000,800,21
36086,50500,800,22
36086,50200,800,23
42627,66100,800,24
42627,61800,800,25
42627,61800,800,26
42627,66400,800,27
42627,56800,800,28
42627,56600,800,29
42627,56200,800,30
42627,55900,800,31
42627,52500,800,32
42627,51500,800,33
42627,58500,800,34
42627,50000,800,35
42627,50200,800,36
42627,49600,800,37
42627,49500,800,38
42627,49400,800,39
42627,49300,800,40
42627,49500,800,41
42627,49700,800,42
42627,49500,800,43
42627,49200,800,44
42627,49000,800,45
42627,49700,800,46
42627,57900,800,47
42627,49500,800,48
50814,60200,800,49
50814,57500,800,50
50814,56400,800,51
50814,55300,800,52
50814,62300,800,53
50814,61700,800,54
50814,83700,800,55
50814,106500,800,56
50814,92500,800,57
50814,92900,800,58
50814,83500,800,59
50814,107600,800,60
50814,85600,800,61
50814,87500,800,62
50814,97000,800,63
50814,82400,800,64
10737,171200,900,1
12821,99700,900,2
16592,95400,900,3
16592,124900,900,4
16592,130700,900,5
18436,138100,900,6
18530,149300,900,7
18530,135200,900,8
18530,147400,900,9
18530,137000,900,10
18530,99000,900,11
18530,89400,900,12
26278,102800,900,13
26857,105800,900,14
26857,100200,900,15
26857,92500,900,16
26857,91300,900,17
26857,84400,900,18
26857,80300,900,19
26857,81200,900,20
26857,81200,900,21
26857,80500,900,22
26857,77800,900,23
26857,77300,900,24
26857,77200,900,25
26857,81000,900,26
33554,92800,900,27
35058,92000,900,28
35058,87400,900,29
35058,84500,900,30
35058,83100,900,31
35058,82200,900,32
35058,82200,900,33
35058,81700,900,34
35058,81400,900,35
35058,81700,900,36
35058,82000,900,37
35058,84300,900,38
35058,81200,900,39
35058,83100,900,40
35058,82600,900,41
35058,82300,900,42
35058,82900,900,43
35058,81600,900,44
35058,82100,900,45
35058,82400,900,46
35058,81500,900,47
