Comparison,Time Taken,S
189906,29326885,1
218790,21488304,2
227046,13098679,3
397848,13466587,4
397848,17650780,5
397848,15116267,6
397848,12725136,7
442041,12912660,8
645994,13864604,9
645994,13161777,10
645994,12348060,11
645994,13144436,12
645994,12169421,13
645994,12110993,14
645994,11017503,15
645994,10786216,16
645994,11145843,17
735695,9330226,18
1261150,10795501,19
1261150,9967965,20
1261150,9715403,21
1261150,9875745,22
1261150,11653959,23
1261150,10554041,24
1261150,9670647,25
1261150,10524546,26
1261150,10538007,27
1261150,10174114,28
1261150,10461504,29
1261150,10212771,30
1261150,9842018,31
1261150,10052440,32
1261150,9990588,33
1261150,9415912,34
1261150,11007617,35
1261150,10544235,36
1261150,10130323,37
1708182,11091432,38
1710211,12372739,39
1710211,11695168,40
1710211,12055292,41
1710211,12271474,42
1710211,14916540,43
1710211,15617846,44
1710211,15623062,45
1710211,10864060,46
1710211,11180739,47
1710211,10846692,48
1710211,13976409,49
1710211,14433880,50
1710211,13782535,51
1710211,15024948,52
1710211,11588324,53
1710211,13131968,54
1710211,12256950,55
1710211,13113449,56
1710211,12672868,57
1710211,13867464,58
1710211,12146084,59
1710211,11486855,60
1710211,11282302,61
1710211,11252474,62
1710211,11168416,63
1710211,11221020,64
1710211,11019849,65
1710211,10987286,66
1710211,11060003,67
1710211,11084755,68
1710211,11161850,69
1710211,11909126,70
1710211,11131116,71
1710211,10792129,72
1710211,10807806,73
1710211,10721078,74
1710211,10842087,75
1710211,10757319,76
2623264,9110680,77
2746312,8960121,78
2746312,9038486,79
2746312,9325893,80
2746312,9867689,81
2746312,9545229,82
2746312,9387150,83
2746312,9284822,84
2746312,9186377,85
2746312,9422080,86
2746312,9346097,87
2746312,9255166,88
2746312,9389151,89
2746312,9287989,90
2746312,9227681,91
2746312,9329126,92
2746312,9274635,93
2746312,9460723,94
2746312,9305065,95
2746312,9107773,96
2746312,9133789,97
2746312,9143985,98
2746312,9272602,99
