Comparison,Time Taken,S
2830210,659248100,1
4930066,592675000,2
5232080,630584800,3
5232080,627233600,4
8058515,600942800,5
8959284,595349200,6
8959284,547708300,7
8959284,559449600,8
8959284,560906400,9
8959284,554832100,10
11598700,607333000,11
14363276,534899500,12
14363276,527674800,13
14363276,537095800,14
14363276,556450900,15
14363276,555997100,16
14363276,563529200,17
14363276,577158100,18
14363276,570234700,19
14363276,600133800,20
14363276,545797900,21
14363276,575062600,22
16339832,549978500,23
25712009,585890200,24
25712009,560868900,25
25712009,582580400,26
25712009,590891200,27
25712009,585291000,28
25712009,576521000,29
25712009,578090200,30
25712009,590782100,31
25712009,569950400,32
25712009,566300700,33
25712009,576284800,34
25712009,583465300,35
25712009,601923200,36
25712009,598058200,37
25712009,572959000,38
25712009,575835900,39
25712009,587063400,40
25712009,603517000,41
25712009,689942300,42
25712009,675333000,43
25712009,655519000,44
25712009,693491100,45
25712009,659060700,46
26235885,661704900,47
37294305,664193500,48
37294305,649649800,49
37294305,640733800,50
37294305,626769300,51
37294305,645603400,52
37294305,627071400,53
37294305,638251400,54
37294305,693613800,55
37294305,655546800,56
37294305,665629100,57
37294305,766083400,58
37294305,821378000,59
37294305,816609200,60
37294305,774099400,61
37294305,721288100,62
37294305,723305800,63
