Comparison,Time Taken,S
712,11095,1
907,5552,2
958,4569,3
958,4450,4
1119,4027,5
1208,6431,6
1208,4872,7
1208,4374,8
1208,4899,9
1208,4029,10
1315,3399,11
1498,3720,12
1498,3559,13
1498,3083,14
1498,2563,15
1498,2653,16
1498,3066,17
1498,3281,18
1498,3123,19
1498,2927,20
1498,4091,21
1498,3155,22
1498,3373,23
1849,2736,24
1849,2587,25
1849,3870,26
1849,2522,27
1849,2620,28
1849,2605,29
1849,2333,30
1849,2929,31
1849,2646,32
1849,2267,33
1849,2483,34
1849,2253,35
1849,2936,36
1849,4153,37
1849,3942,38
1849,4073,39
1849,3684,40
1849,4067,41
1849,3326,42
1849,3577,43
1849,4153,44
1849,3395,45
1849,2737,46
1849,2866,47
1849,3571,48
2199,3842,49
2199,3216,50
2199,2702,51
2199,2562,52
2199,2462,53
2199,2433,54
2199,2665,55
2199,2328,56
2199,2360,57
2199,2130,58
2199,2161,59
2199,2178,60
2199,2243,61
2199,2263,62
2199,2310,63
2199,2309,64
2199,2328,65
