Comparison,Time Taken,S
195924,1048820,1
258934,768606,2
268951,656260,3
419186,991956,4
419186,844044,5
419186,850020,6
419186,738082,7
447378,728406,8
664745,828058,9
664745,665040,10
664745,714824,11
664745,652642,12
664745,675328,13
664745,731858,14
664745,675038,15
664745,639956,16
664745,599692,17
772678,651878,18
1023722,785562,19
1023722,827824,20
1023722,736270,21
1023722,741870,22
1023722,746960,23
1023722,745904,24
1023722,758796,25
1023722,807030,26
1023722,845876,27
1023722,809768,28
1023722,766438,29
1023722,811102,30
1023722,730876,31
1023722,730680,32
1023722,741552,33
1023722,735640,34
1023722,806988,35
1023722,774116,36
1023722,763852,37
1549663,968502,38
1619509,1085118,39
1619509,1004692,40
1619509,1007660,41
1619509,1014020,42
1619509,1056898,43
1619509,996830,44
1619509,984852,45
1619509,1010992,46
1619509,1058650,47
1619509,1000030,48
1619509,974672,49
1619509,1026824,50
1619509,1052456,51
1619509,1001742,52
1619509,1008944,53
1619509,1005076,54
1619509,982128,55
1619509,989532,56
1619509,1019650,57
1619509,998356,58
1619509,1020956,59
1619509,1000242,60
1619509,987904,61
1619509,993462,62
1619509,981050,63
1619509,965580,64
1619509,958692,65
