Comparison,Time Taken,S
316,1700978,1
344,1641867,2
352,1585214,3
352,1584074,4
424,1546921,5
460,1611738,6
460,1568641,7
460,1600155,8
460,1514563,9
460,1613304,10
580,1678838,11
724,1758098,12
724,1707417,13
724,1632947,14
724,1663825,15
724,1653196,16
724,1723577,17
724,1746792,18
724,1753432,19
724,1720201,20
724,1743535,21
724,1753191,22
724,1690745,23
1300,2032945,24
1300,2004501,25
1300,2081255,26
1300,2104578,27
1300,2081813,28
1300,2021808,29
1300,2108736,30
1300,2092778,31
1300,2106597,32
1300,2100293,33
1300,2100288,34
1300,2089452,35
1300,2100396,36
1300,2129778,37
1300,2103214,38
1300,2112660,39
1300,2015783,40
1300,2047846,41
1300,2091100,42
1300,2097332,43
1300,2082688,44
1300,2100257,45
1300,2096645,46
1300,2105584,47
1300,2129523,48
2500,3007502,49
2500,2795169,50
2500,2808234,51
2500,2896184,52
2500,2909224,53
2500,2981643,54
2500,2916944,55
2500,2921123,56
2500,2915849,57
2500,2922570,58
2500,2948174,59
2500,2910988,60
2500,2890608,61
2500,2991020,62
2500,2916438,63
2500,2920560,64
