Comparison,Time Taken,S
248058,540975,1
260266,212897,2
375090,258883,3
375090,270317,4
375090,231661,5
387608,303187,6
438873,435344,7
438873,350758,8
438873,331386,9
438873,268058,10
438873,269354,11
438873,279822,12
438873,270829,13
451269,335301,14
470561,349146,15
470561,270736,16
470561,308210,17
470561,259418,18
470561,259844,19
470561,278333,20
470561,319244,21
470561,245026,22
470561,239030,23
470561,236708,24
470561,247077,25
470561,249383,26
470561,256376,27
470561,249009,28
470561,259035,29
482815,252125,30
486527,251157,31
486527,291565,32
486527,254370,33
486527,243217,34
486527,263139,35
486527,274770,36
486527,240370,37
486527,242477,38
486527,240474,39
486527,241776,40
486527,241406,41
486527,247099,42
486527,251797,43
486527,251484,44
486527,250808,45
486527,261422,46
486527,267798,47
486527,286835,48
486527,269926,49
486527,275212,50
486527,272249,51
486527,283139,52
486527,288810,53
486527,300608,54
486527,297178,55
486527,285922,56
486527,291071,57
486527,294210,58
486527,299471,59
486527,300641,60
490500,307866,61
494000,311434,62
494000,313150,63
494000,320099,64
494000,320562,65
