Comparison,Time Taken,S
324,2250,3
324,1877,4
300,1377,5
288,1338,6
288,1203,7
288,1242,8
288,1204,9
288,1186,10
268,1078,11
244,965,12
244,985,13
244,1054,14
244,1870,15
244,1401,16
244,959,17
244,1014,18
244,1136,19
244,995,20
244,975,21
244,1021,22
244,1029,23
196,884,24
196,842,25
196,842,26
196,838,27
196,846,28
196,856,29
196,859,30
196,850,31
196,857,32
196,858,33
196,844,34
196,900,35
196,836,36
196,848,37
196,940,38
196,1020,39
196,1098,40
196,1210,41
196,988,42
196,857,43
196,1054,44
196,878,45
196,850,46
196,1000,47
196,1126,48
148,746,49
148,711,50
148,853,51
148,860,52
148,980,53
148,993,54
148,1043,55
148,935,56
148,1008,57
148,989,58
148,1112,59
148,997,60
148,973,61
148,754,62
148,904,63
148,961,64

