Comparison,Time Taken,S
5020,22005,2
4788,12622,3
4788,14304,4
4788,12894,5
4716,20918,6
4404,10901,7
4404,9969,8
4404,11269,9
4404,15429,10
4404,9964,11
4404,9725,12
4404,9103,13
4236,8675,14
3956,8077,15
3956,9280,16
3956,8367,17
3956,8460,18
3956,10412,19
3956,8733,20
3956,9037,21
3956,8786,22
3956,8262,23
3956,9337,24
3956,10415,25
3956,8247,26
3956,8298,27
3956,9937,28
3956,10173,29
3596,9082,30
3476,7737,31
3476,9993,32
3476,9196,33
3476,9056,34
3476,8519,35
3476,7828,36
3476,7363,37
3476,7014,38
3476,7518,39
3476,7279,40
3476,7754,41
3476,9194,42
3476,10004,43
3476,8345,44
3476,10509,45
3476,8462,46
3476,9586,47
3476,9726,48
3476,10383,49
3476,8463,50
3476,7140,51
3476,8221,52
3476,9122,53
3476,8828,54
3476,7225,55
3476,7387,56
3476,7032,57
3476,7123,58
3476,7319,59
3476,8398,60
3236,9216,61
2988,7526,62
2988,8730,63
2988,8288,64

