size,time,type
10,0.0000024000,worst
10,0.0000021000,worst
10,0.0000013000,worst
10,0.0000010000,worst
10,0.0000012000,worst
10,0.0000020000,worst
10,0.0000013000,worst
10,0.0000006000,worst
10,0.0000005000,worst
10,0.0000004000,worst
100,0.0000851000,worst
100,0.0000808000,worst
100,0.0000739000,worst
100,0.0000442000,worst
100,0.0000430000,worst
100,0.0000415000,worst
100,0.0000412000,worst
100,0.0000410000,worst
100,0.0000404000,worst
100,0.0000400000,worst
1000,0.0064142000,worst
1000,0.0041971000,worst
1000,0.0039796000,worst
1000,0.0045957000,worst
1000,0.0040373000,worst
1000,0.0040953000,worst
1000,0.0040951000,worst
1000,0.0040404000,worst
1000,0.0040231000,worst
1000,0.0041797000,worst
10000,0.4385498000,worst
10000,0.4348527000,worst
10000,0.4448116000,worst
10000,0.4288176000,worst
10000,0.4486287000,worst
10000,0.4328574000,worst
10000,0.4296220000,worst
10000,0.4364422000,worst
10000,0.4301880000,worst
10000,0.4337334000,worst
10,0.0000027000,average
10,0.0000032000,average
10,0.0000025000,average
10,0.0000031000,average
10,0.0000040000,average
100,0.0001632000,average
100,0.0001782000,average
100,0.0001141000,average
100,0.0001149000,average
100,0.0001354000,average
100,0.0001049000,average
1000,0.0070451000,average
1000,0.0053493000,average
1000,0.0061055000,average
1000,0.0053863000,average
1000,0.0056248000,average
1000,0.0055265000,average
1000,0.0055883000,average
1000,0.0058827000,average
1000,0.0063397000,average
1000,0.0056542000,average
1000,0.0073100000,average
10000,0.4040949000,average
10000,0.4163359000,average
10000,0.4293142000,average
0,0.0000016000,best
10,0.0000016000,best
10,0.0000014000,best
10,0.0000010000,best
10,0.0000008000,best
10,0.0000015000,best
10,0.0000012000,best
10,0.0000006000,best
10,0.0000007000,best
10,0.0000006000,best
100,0.0000711000,best
100,0.0000614000,best
100,0.0000372000,best
100,0.0000370000,best
100,0.0000356000,best
100,0.0000353000,best
100,0.0000354000,best
100,0.0000353000,best
100,0.0000355000,best
100,0.0000356000,best
1000,0.0045438000,best
1000,0.0032270000,best
1000,0.0032178000,best
1000,0.0033065000,best
1000,0.0032262000,best
1000,0.0033017000,best
1000,0.0031986000,best
1000,0.0032632000,best
1000,0.0032508000,best
1000,0.0032686000,best
10000,0.3355407000,best
10000,0.3303967000,best
10000,0.3359450000,best
10000,0.3451983000,best
10000,0.3512581000,best
10000,0.3324328000,best
10000,0.3303179000,best
10000,0.3424309000,best
10000,0.3372369000,best
10000,0.3507803000,best
